id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
568;"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"2020";"3";9.15035522870866;45.4740547791673;"(45.474054779167325, 9.150355228708664)"
569;"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"2020";"17";9.15048572701465;45.4739438574568;"(45.473943857456774, 9.150485727014647)"
570;"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"2020";"22";9.1502532771055;45.4741402978123;"(45.47414029781226, 9.150253277105497)"
571;"6388";VIA MONTE ROSA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2020";"8";9.15059308297469;45.473863352126;"(45.473863352125974, 9.150593082974686)"
572;"1313";VIA BENIGNO CRESPI;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"2009";"130";9.18505251574232;45.5023368273279;"(45.50233682732786, 9.18505251574232)"
573;"3163";PIAZZALE VINCENZO CUOCO;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile con lanterna bici;"2007";"12";9.22350845155751;45.4512958330557;"(45.4512958330557, 9.223508451557512)"
574;"3163";PIAZZALE VINCENZO CUOCO;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"2007";"38";9.22461035055488;45.4508369123172;"(45.45083691231723, 9.224610350554883)"
575;"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"1989";"227";9.14697425380549;45.4766003488482;"(45.47660034884821, 9.14697425380549)"
577;"3220";VIA LAURA CICERI VISCONTI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2009";"13";9.22027867777039;45.4558763775508;"(45.45587637755079, 9.22027867777039)"
578;"6302";VIA CALDERA;;ciclabile;ciclabile segnaletica;passerella;bidirezionale;corsia ciclabile;"1990";"220";9.10139648165429;45.4789674802581;"(45.478967480258056, 9.101396481654291)"
579;"3243";VIA ARCANGELO CORELLI;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"2007";"57";9.26245457190811;45.4702135779061;"(45.470213577906115, 9.262454571908112)"
580;"6737";VIA LAMPUGNANO;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"2002";"99";9.11436530548219;45.4901251251562;"(45.49012512515617, 9.114365305482188)"
581;"7523";VIA MARIO BORSA;;urbana;promiscuo pedoni;sottopasso;bidirezionale;percorso promiscuo - pedonale e ciclabile;"1997";"66";9.09321203104913;45.5056709568925;"(45.50567095689245, 9.093212031049134)"
582;"7523";VIA MARIO BORSA;;urbana;promiscuo pedoni;sottopasso;bidirezionale;percorso promiscuo - pedonale e ciclabile;"1997";"60";9.09226765516526;45.5065514653966;"(45.50655146539665, 9.092267655165264)"
583;"6737";VIA LAMPUGNANO;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2002";"10";9.11301302904404;45.4908661446097;"(45.490866144609726, 9.113013029044037)"
584;"6737";VIA LAMPUGNANO;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2002";"11";9.11493669248248;45.4898363188589;"(45.489836318858856, 9.114936692482477)"
585;"6302";VIA CALDERA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2007";"15";9.09958144204058;45.4771863821465;"(45.47718638214653, 9.099581442040577)"
586;"6302";VIA CALDERA;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"2007";"126";9.10233561949035;45.4788086575591;"(45.4788086575591, 9.10233561949035)"
